hotel_name,room_price
Ramada by Wyndham Bali Sunset Road Kuta,4948
Umae Villa,28193
Ramada Encore by Wyndham Bali Seminyak,9375
Aksari Villa Seminyak,2777
The Light Exclusive Villas & Spa,1931
Legian Kriyamaha Villa,2314
Alam Sembuwuk Resort,1021
Hotel NEO Plus Kuta - Legian by ASTON,6681
INAYA Putri Bali,12586
Horison Hotel Seminyak Bali,1344
Villa Jerami Luxury Villa and Spa,38829
The ANVAYA Beach Resort Bali,14306
The Bali Dream Villa,12789
Bali Tropic Resort & Spa,4834
"FuramaXclusive Resort & Villas, Ubud",12340
Eden Hotel Kuta Bali,1294
Aldeoz Grand Kancana Villa (Formerly Transera Grand Kancana Villas Resort),9718
Daluman Villas Bali,4630
The Elysian Boutique Villa Hotel,13227
Grand Mirage Resort & Thalasso Bali,16768
Rama Beach Resort & Villas,7620
The Trans Resort Bali,13744
Nusa Dua Beach Hotel & Spa,9073
Discovery Kartika Plaza Hotel,6853
Benoa Sea Suites and Villas by Premier Hospitality Asia,5921
Ini Vie Villa,2828
The Bali Dream Suite Villa,4989
Bali Garden Beach Resort,4436
Ayodya Resort,5368
Courtyard by Marriott Bali Seminyak Resort,3438
